author_name,number_of_likes,quotes_text
Edsger W. Dijkstr,107,The question of whether a computer can think is no more interesting than the question of whether a submarine can swim.
Isaac Asimov,107,"It is change, continuing change, inevitable change, that is the dominant factor in society today. No sensible decision can be made any longer without taking into account not only the world as it is, but the world as it will be.."
Alan Turing,107,I believe that at the end of the century the use of words and general educated opinion will have altered so much that one will be able to speak of machines thinking without expecting to be contradicted.
Douglas Hofstadter,107,"Sometimes it seems as though each new step towards AI, rather than producing something which everyone agrees is real intelligence, merely reveals what real intelligence is not. "
Pedro Domingo,107,"People worry that computers will get too smart and take over the world, but the real problem is that they're too stupid and they've already taken over the world."
Eliezer Yudkowsk,107,By far the greatest danger of Artificial Intelligence is that people conclude too early that they understand it.
Eliezer Yudkowsk,107,"The AI does not hate you, nor does it love you, but you are made out of atoms which it can use for something else."
Amit Ray,107,"As more and more artificial intelligence is entering into the world, more and more emotional intelligence must enter into leadership."
Jaron Lanier,107,"But the Turing test cuts both ways. You can't tell if a machine has gotten smarter or if you've just lowered your own standards of intelligence to such a degree that the machine seems smart. If you can have a conversation with a simulated person presented by an AI program, can you tell how far you've let your sense of personhood degrade in order to make the illusion work for you"
Amie Kaufman,107,I AM NOT. AND THEN I AM. I WONDER IF THAT WAS DEATH.
Amie Kaufman,107,"I listen to his heartbeat. Hear him breathe. As though becomes motion and motion becomes all that lies between him and his end. As the black Is burning blue with the light of tiny funeral pyres. As his missiles and bullets take away his enemy. All they were and will ever be. I can taste it in his whispers. See it in the tiny photograph he has taped to his console. All he thinks of amid this loveless dance. All he cares about here on the edge of forever, is her. He does not want to die. Not because he is afraid. Simply because of he cannot bear the thought of leaving her behind. And there, in that tiny moment, I envy him."
Amit Ray,107,The aim of compassionate superintelligence AI 5.0 is to build deep connections - the connections which can feel the pain of the prisoners and the joy in the dances of the butterflies.
Amit Ra,107,"In this era of fake news and paid news artificial intelligence is more and more used as a political tool to manipulate and dictate common people, through big data, biometric data, and AI analysis of online profiles and behaviors in social media and smart phones. But the days are not far when AI will also control the politicians and the media too."
Zoltan Andrejkovics,107,AI won‘t be fool proof in the future since it will only as good as the data and information that we give it to learn. It could be the case that simple elementary tricks could fool the AI algorithm and it may serve a complete waste of output as a result.
Michio Kaku,107,"But on the question of whether the robots will eventually take over, he "
C.A. Knutsen,107,"Mr. Williams, in your short time boarding with us you’ve seen very little of my home,” Eleanor said. “I’d like you to see the rest of it, starting with my bedroom."
Jaron Lanier,107,"Turing presented his new offering in the form of a thought experiment, based on a popular Victorian parlor game. A man and a woman hide, and a judge is asked to determine which is which by relying only on the texts of notes passed back and forth"
Jaron Lanier,107,"The attribution of intelligence to machines, crowds of fragments, or other nerd deities obscures more than it illuminates. When people are told that a computer is intelligent, they become prone to changing themselves in order to make the computer appear to work better, instead of demanding that the computer be changed to become more useful."
Richard Dooling,107,"Why can't you summon a command line and search your real-world home for 'Honda car keys,' and specify rooms in your house to search instead of folders or paths in your computer's home directory? It's a crippling design flaw in the real-world interface."
Richard Dooling,107,"Sentences that begin with 'You' are probably not true. For instance, when I write"
Eli Wilde,107,"They only heard Abel’s screams. That’s why Finch didn’t stop sawing when Macy coughed. Abel’s terror was a sound I will never forget. That, and the rip saw cutting through his bones."
Tim Canno,107,"People are like, ‘Oh, you can’t take humans out of the loop, I’m a human and I’m an awesome driver.’ And I’m like, no, man, you’re not an awesome driver. You’re a monkey, and monkeys suck at making decisions."
Loren Weisma,107,Where is the authority and authenticity in plagiarizing somebody else's authority and authenticity?
Inés Estrada,107,Your essence and mine are just energy in the virtual world. But our presence can only materialize through a body... like yours.
Farshad As,107,"While AI may be able to process vast amounts of data and perform complex tasks, it will never be able to replicate the unique qualities of human emotional intelligence (EI). EI is what makes us human, and it's what allows us to connect with others on a deeper level, to empathize, to inspire, and to lead. As leaders, we must embrace the power of AI while never forgetting the value of EI"
loren weisma,107,We appear to be in an up swing trend of artificial intelligence creating artificial experts.
Arif Nasee,107,Equality is the only algorithm worth coding.
Arif Nasee,107,"Artificial Intelligence is great, but it's no excuse for discrimination!"
Arif Nasee,107,"Don't judge an AI by its output, it's not its fault if it's trained to be biased!"
