name,owner,phone,website,email,logo,street,city,zip_code
well come FIT AG,Pascal Brunner,+41 52 721 36 96,www.wellcomefit.ch,info@wellcomefit.ch,https://admin.fitness-classification.ch//storage/media/327/624c232f71f64.jpg,Walzmühlestrasse 50,Frauenfeld,8500
THE GYM Baregg,Reto Maissen,+41 56 493 37 63,www.the-gym.ch,baregg@the-gym.ch,https://admin.fitness-classification.ch//storage/media/233/624c18ef5e355.png,Zelgweg 11,Baden-Dättwil,5405
Just Fit AG,Mike Ruhland,+41 62 577 70 71,www.justfit.ch,info@justfit.ch,https://admin.fitness-classification.ch//storage/media/240/624c19c7bbab6.png,Niederlenzer Kirchweg 5,Lenzburg,5600
VITASPORT TRAINING,Roland Zehnder,+41 56 441 72 71,www.vitasport.ch,zehnder@vitasport.ch,https://admin.fitness-classification.ch//storage/media/222/624c17d6903f2.jpg,Badstrasse 50,Brugg AG,5200
Fitlife Training GmbH,Peter Hänggi,+41 56 611 13 10,www.fitlife-training.ch,info@fitlife-training.ch,,Dottikerstrasse 7,Anglikon,5611
Medizinisches Training & Physiotherapie aarau West,Sandra Kehrli,+41 62 723 30 18,www.fitnessaarauwest.ch,info@fitnessaarauwest.ch,,Industriestrasse 12A,Oberentfelden,5036
ASS Fit and Well,Peter Zavadil,+41 62 827 31 81,www.ass-fitandwell.ch,mail@ass-fitandwell.ch,https://admin.fitness-classification.ch//storage/media/412/62725da3160c1.jpg,Rainstrasse 2,Rombach,5022
Gesundheitscenter Bellvida,Valerio Carusone,+41 62 552 00 01,www.bellvida.ch,info@bellvida.ch,,Bernstrasse-Ost 50,Suhr,5034
Physiotherapie Wiebke Schubien GmbH,,+41 62 823 81 67,www.physiotherapie-schubien.ch,info@physiotherapie-schubien.ch,,Rohrerstrasse 78,Aarau,5000
FitPoint,,+41 71 929 30 20,fitpoint.ch,info@fitpoint.ch,,Ringstrasse 31,Wil SG,9500
Medical Fitness Rheinfelden,Tobias Wehrle,+41 61 836 51 51,www.reha-rheinfelden.ch,mtt@reha-rhf.ch,https://admin.fitness-classification.ch//storage/media/185/624b20d591feb.jpg,Salinenstrasse 98,Rheinfelden,4310
S4 Fitnesscenter,Roland Fuchs,+41 33 530 01 66,www.s4sports.ch,info@s4sports.ch,,Mittelwegs 11,Wilderswil,3812
GYYM Health & Fitness AG,Alessandro Biassoni Schmitz,+41 61 633 20 60,www.gyym.ch,info@gyym.ch,,Hochbergerstrasse 70,Basel,4057
Lady Fitness Factory,,+41 62 961 97 47,www.fitnessfactory.ch/www.ladyfitnessfactory.ch,info@baufactory.ch,,Bernstrasse 22,Herzogenbuchsee,3360
Fitnesscenter Body Gym,Cristina Famiglietti,+41 52 720 81 88,https://www.body-gym.ch/,info@body-gym.ch,,Langfeldstrasse 60,Frauenfeld,8500
Body Move Allschwil,,+41 61 577 30 30,www.body-move.ch,allschwil@body-move.ch,,Paradiesrain 14,Allschwil,4123
Body Move Aesch,,+41 61 599 30 31,www.body-move.ch,aesch@body-move.ch,https://admin.fitness-classification.ch//storage/media/170/624b1f6e4941d.jpg,Nordring 2,Aesch,4147
Impuls Fitnesscenter,,+41 62 896 03 50,www.implus-fit.ch,info@impuls-fit.ch,,Hintermättlistrasse 3,Mägenwil,5506
med. Rücken-Center,Yvonne Keller,+41 44 211 60 80,rueckencenter.com,info@rueckencenter.com,https://admin.fitness-classification.ch//storage/media/276/624c1dd3b7ff1.png,Nüschelerstrasse 45,Zürich,8001
